,Meet  the Investors You Want,,Purchase full investor lists,How to use a list of investors: A guide for startups,"Disclaimer: The information presented here is collected from public sources. It is subject to change from time to time, and Lucid Ventures Ltd (DBA ""Meet.Capital"") will not be held liable for any use or misuse of this list, nor will it be held accountable if any errors are found in it. Please research and check the links provided before reaching out to any investor. We encourage you to use the list thoughtfully. "
Company Name,Company Website,Company Location,Company Linkedin URL,Description,
Character,https://character.vc/,"Milwaukee, Wisconsin, United States",https://www.linkedin.com/company/74018892/,"We provide high-integrity seed capital to startups, then help them find and expand product-market fit with the Sprint method we developed at GV.",
Resiliencevc,http://www.resilience.vc,"Washington, District of Columbia, United States",https://www.linkedin.com/company/76562304/,ResilienceVC is a seed stage embedded fintech fund investing in scalable startups that drive returns and resilience,
/Capital - Forwardslash Capital,https://forwardslash.vc/,"Boston, Massachusetts, United States",https://www.linkedin.com/company/81301229/,/capital (Forwardslash Capital) is a Seed Investor focused on Enterprise B2B,
Revelry Venture Partners,https://revelry.vc/,"New Orleans, Louisiana, United States",https://www.linkedin.com/company/81928826/,"Revelry Venture Partners (RVP) is a seed-stage focused venture capital firm dedicated to fueling the innovation and adoption of frontier technology solutions to solve global-scale challenges. We are comfortable investing pre-launch, pre-hype, and pre-everyone else.",
Aventura Ventures,www.aventuraventures.co,"Los Angeles, California, United States",https://www.linkedin.com/company/82806137/,Aventura Ventures is a seed-stage venture capital firm investing in startups that power infrastructure in emerging online & offline communities. ,
Tfs Ventures,http://tfsventures.vc,"Oxnard, California, United States",https://www.linkedin.com/company/89933906/,"Our firm focuses on providing seed stage startups equity and venture debt capital that have consistent, steady and growing revenue.

Terms, details and the protocol to pitch are on our website
http://tfsventures.vc",
Zeus Capital,https://www.zeusventurecapital.com/,"Chicago, Illinois, United States",https://www.linkedin.com/company/89748565/,Zeus Venture Capital or Zeus VC was founded in 2022. We focus in investing seed capital to newly launched minority-founded startups. We invest in the potential of diversity of great ideas and products.,
Hathi Venture Capital,https://www.hathi.vc/,"St Louis, Missouri, United States",https://www.linkedin.com/company/85613837/,"A seed stage venture fund investing in diverse founding teams leveraging deep technology (e.g. AI, robotics) to solve big problems in foundational industries from farming and healthcare to finance and supply chain.",
The 24 Fund,https://www.gsb.stanford.edu/,"Palo Alto, California, United States",https://www.linkedin.com/company/89858385/,The 24 Fund is a seed fund that invests in businesses founded by entrepreneurs of the Stanford Graduate School of Business' MBA Class of 2024.,
